probes,recall,qps
1,0.2057,90.2
2,0.3136,75.3
3,0.3922,62.8
5,0.4997,49.1
10,0.6669,29.7
20,0.9461,4.5
30,0.8746,10.6
50,0.9400,6.9
100,0.9871,3.7
200,0.9987,2.1
500,1.0000,1.2
1000,1.0000,1.2
