probes,recall,qps
1,0.1303,81.8
2,0.1815,77.5
3,0.2201,77.4
5,0.2817,75.5
10,0.3860,68.9
20,0.5113,58.7
30,0.5962,49.9
50,0.7078,41.3
100,0.9154,21.3
200,0.9999,5.2
500,0.9853,6.2
1000,0.9980,3.5
2000,0.9980,3.6
