ef_search,recall,qps
2000,0.9572,12.5
1900,0.9572,12.0
1800,0.9572,12.2
1700,0.9572,12.4
1600,0.9572,12.4
1500,0.9572,12.5
1400,0.9572,12.2
1300,0.9572,12.5
1200,0.9572,12.3
1100,0.9572,12.3
1000,0.9572,12.2
900,0.9516,13.4
800,0.9440,14.7
700,0.9335,15.2
600,0.9187,16.7
500,0.9991,2.3
400,0.9988,2.3
300,0.9929,4.9
250,0.9629,11.0
200,0.8635,17.5
180,0.8260,19.6
160,0.7883,22.1
140,0.7479,24.8
120,0.7043,28.1
100,0.6573,32.0
90,0.6335,32.9
80,0.6071,34.8
70,0.5795,36.7
60,0.5492,39.3
55,0.5311,40.4
50,0.5122,41.4
45,0.4926,42.0
40,0.4688,42.8
35,0.4453,44.2
30,0.4200,44.5
25,0.3855,45.5
20,0.3503,46.7
15,0.3095,48.8
10,0.2508,50.7
