1700,0.9987,0.933054,1.03382e+06
1400,0.9987,1.05984,929044
1100,0.9985,1.26518,806930
1000,0.9984,1.36451,761480
900,0.9984,1.4673,713039
800,0.9981,1.6093,661261
700,0.9978,1.81284,606090
600,0.9976,2.02401,546604
500,0.9973,2.3793,482042
400,0.9969,2.81205,411597
300,0.9959,3.60054,333491
250,0.995,4.19433,290936
200,0.9927,4.95565,245565
180,0.9922,5.30794,226268
160,0.9919,6.005,206322
140,0.9908,6.65146,185562
120,0.9898,7.71927,164429
100,0.9882,9.16725,142305
90,0.9872,9.90001,130619
80,0.9856,11.1645,118859
70,0.9841,12.55,106530
60,0.9826,14.5847,93921.3
55,0.9808,14.7035,87565.7
50,0.9781,15.4591,81004.4
45,0.976,18.5175,74400.4
40,0.9727,20.7452,67609.8
35,0.969,23.6463,60629.1
30,0.9618,27.1304,53415.5
25,0.9534,32.175,45926.7
20,0.9393,39.3159,38305.6
15,0.9174,51.1195,30277.6
10,0.8772,74.0796,21778.3
