L,Cmps,QPS,Recall
1700,10783,129.87,79.25
1400,10255,140.845,78.75
1100,9450,163.934,75.75
1000,9143,185.185,75.5
900,8845,188.679,74.5
800,8456,203.046,74.25
700,8071,217.391,72.5
600,7608,231.214,71
500,7029,250,68.75
400,6392,270.27,67.75
300,5684,333.333,64
250,5199,363.636,62
200,4594,404.04,59
180,4375,412.371,58.25
160,4098,434.783,57
140,3842,459.77,56.75
120,3521,493.827,54.75
100,3141,547.945,53.75
90,2988,579.71,54
80,2805,701.754,51.75
70,2610,754.717,51
60,2365,816.327,48.75
55,2272,869.565,47.75
50,2158,909.091,46.5
45,2030,952.381,46
40,1899,1000,44.25
35,1725,1081.08,41.75
30,1562,1176.47,41.25
25,1420,1290.32,38
20,1240,1481.48,36.25
15,1009,1739.13,33.75
10,774,2222.22,28.5
