ef,recall,qps,distance_computations_per_query
/root/work/data/filterbenchmark/tripclick/tripclick_base.bin
/root/work/lssg/example/quantile_partitions/tripclick_containment/tripclick_containment_Q5_query.bin
Ground truth loaded from /root/work/others/Unified-Navigating-Graph/data/gt_quantile/tripclick_containment/Q5_gt_29_labels_zipf.bin
Base Label Load Finished
Query Label Load Finished
All Points:: 2475980
All Points:: 2347498
1700,1,106.724,14478.6
1400,0.9995,124.224,12679.1
1100,0.999,148.148,10719.2
1000,0.999,158.856,10019.6
900,0.999,172.414,9291.5
800,0.999,187.97,8537.45
700,0.999,208.333,7751.55
600,0.999,211.64,6926.21
500,0.998,242.718,6042.52
400,0.998,292.398,5110.36
300,0.9955,367.647,4100.1
250,0.994,423.729,3563.2
200,0.992,508.906,2993.93
180,0.9915,554.017,2756.78
160,0.991,606.061,2513.57
140,0.987,677.966,2264.09
120,0.982,769.231,2005.99
100,0.979,881.057,1740.82
90,0.9755,966.184,1602.31
80,0.9715,1063.83,1460.75
70,0.9655,1183.43,1316.05
60,0.957,1342.28,1167.69
55,0.9485,1428.57,1093.23
50,0.9415,1538.46,1017.32
45,0.9255,1680.67,940.75
40,0.9165,1769.91,861.15
35,0.9055,1980.2,779.25
30,0.8885,2272.73,702.105
25,0.868,2597.4,622.605
20,0.839,3030.3,539.955
15,0.793,3703.7,452.895
10,0.726,4761.9,364.13
