nprobe,recall,qps
1,0.2303,60.6
2,0.3464,57.9
3,0.4202,59.4
5,0.5259,58.9
10,0.6784,58.9
20,0.8140,57.2
30,0.8735,44.1
50,0.9341,44.5
100,0.9795,41.2
200,0.9933,36.2
500,0.9961,22.0
1000,0.9961,17.5
