ef,recall,qps
2000,0.9953,14.5
1900,0.9953,14.0
1800,0.9953,15.3
1700,0.9953,12.6
1600,0.9954,13.9
1500,0.9956,14.5
1400,0.9956,14.8
1300,0.9960,17.7
1200,0.9962,19.5
1100,0.9964,19.0
1000,0.9965,21.3
900,0.9964,22.8
800,0.9963,23.1
700,0.9985,25.8
600,0.9989,27.2
500,0.9983,26.7
400,0.9978,26.5
300,0.9967,27.0
250,0.9963,28.7
200,0.9945,28.6
180,0.9941,28.3
160,0.9929,28.7
140,0.9912,27.9
120,0.9878,27.7
100,0.9849,27.8
90,0.9828,28.1
80,0.9806,27.3
70,0.9776,27.5
60,0.9731,27.4
55,0.9699,27.5
50,0.9673,27.9
45,0.9633,28.1
40,0.9573,28.3
35,0.9520,23.3
30,0.9437,22.0
25,0.9331,28.4
20,0.9182,26.4
15,0.8950,26.2
10,0.8609,26.5
