efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.355,112.209,31.4959,3802.05
1400,0.34,137.355,33.202,3205.03
1100,0.3275,188.225,35.5227,2651.22
1000,0.2975,209.022,36.2025,2445.7
900,0.2825,237.435,36.9687,2218.22
800,0.27,269.607,37.6686,1995.33
700,0.2625,313.291,38.417,1768.22
600,0.255,365.958,39.1071,1585.75
500,0.255,441.53,39.8357,1395.7
400,0.2425,563.128,40.6272,1186.5
300,0.2225,745.614,41.3575,994.625
250,0.2175,897.686,41.7498,890.2
200,0.2,1132.72,42.1566,782.4
180,0.2,1247.19,42.3011,746.35
160,0.1975,1378.65,42.4384,706.475
140,0.1925,1527.19,42.5658,670.975
120,0.1925,1659.2,42.6604,632.525
100,0.1825,1983.83,42.8407,591.175
90,0.1825,2134.59,42.9061,568.7
80,0.18,2355.29,42.9871,542.425
70,0.175,2606.37,43.0628,513.975
60,0.1725,2944.4,43.1446,480.675
55,0.165,3159.79,43.1878,463.85
50,0.1625,3397.02,43.229,444.675
45,0.155,3688.68,43.2726,422.775
40,0.1475,4076.69,43.3209,399.05
35,0.1375,4542.36,43.3682,373.95
30,0.125,5166.67,43.4183,345.4
25,0.1175,5986.3,43.4683,315.15
20,0.1025,7178.95,43.5208,279.475
15,0.09,8828.26,43.5701,238.325
10,0.08,12110,43.6285,191.05
