nprobe,recall,qps
1,0.3504,138.5
2,0.4663,148.7
3,0.5364,138.7
5,0.6269,135.6
10,0.7404,124.9
20,0.8398,111.1
30,0.8834,122.7
50,0.9331,120.3
100,0.9685,121.5
200,0.9883,111.0
500,0.9988,86.4
1000,1.0000,58.9
