ef,recall,qps
2000,0.9976,16.2
1900,0.9976,16.1
1800,0.9976,21.0
1700,0.9976,20.2
1600,0.9976,21.3
1500,0.9976,24.3
1400,0.9975,27.3
1300,0.9975,28.3
1200,0.9975,29.2
1100,0.9975,30.2
1000,0.9998,31.4
900,0.9998,32.1
800,0.9999,33.9
700,0.9999,35.2
600,0.9998,37.0
500,0.9997,37.5
400,0.9997,37.6
300,0.9996,39.1
250,0.9996,39.0
200,0.9996,39.1
180,0.9996,39.8
160,0.9995,40.0
140,0.9992,41.0
120,0.9991,40.7
100,0.9991,39.8
90,0.9991,41.0
80,0.9989,41.2
70,0.9989,41.2
60,0.9985,41.9
55,0.9978,41.2
50,0.9976,41.7
45,0.9974,40.6
40,0.9973,41.3
35,0.9967,40.8
30,0.9968,41.3
25,0.9954,41.5
20,0.9934,41.5
15,0.9910,42.0
10,0.9846,42.8
