1700,0.9988,5.972,281407
1400,0.9987,7.08456,240489
1100,0.9985,8.67882,197644
1000,0.9984,9.491,182868
900,0.9985,10.334,167745
800,0.9984,11.4235,152280
700,0.9982,12.8421,136441
600,0.9981,14.7319,120120
500,0.9977,17.353,103282
400,0.9975,21.065,85829.6
300,0.9976,27.4446,67607.1
250,0.9974,32.3206,58165.6
200,0.9969,39.604,48417.6
180,0.9968,44.2184,44375.3
160,0.9968,49.0798,40279.9
140,0.9961,54.936,36082.1
120,0.9954,63.488,31850
100,0.9953,76.2602,27490
90,0.9947,85.2733,25236.3
80,0.9946,96.0523,22922.3
70,0.9941,110.229,20561.9
60,0.9923,127.033,18129.6
55,0.9917,136.668,16902.5
50,0.9906,150.784,15652.8
45,0.99,166.945,14398.4
40,0.9896,187.829,13113.1
35,0.9886,211.999,11792.1
30,0.9868,242.072,10441.1
25,0.9846,284.819,9075.2
20,0.9797,349.895,7616.36
15,0.9722,442.674,6118.64
10,0.9568,614.251,4526.67
