L,Cmps,QPS,Recall
1700,5462,334.113,87.76
1400,4847,371.609,86.57
1100,4154,420.698,84.83
1000,3907,439.174,84.11
900,3652,463.177,83.18
800,3382,487.567,82.17
700,3094,520.021,81
600,2796,554.017,79.91
500,2471,598.086,78.13
400,2126,652.316,76.12
300,1748,726.744,73.45
250,1539,754.717,71.74
200,1316,826.446,69.44
180,1224,853.242,68.41
160,1127,875.657,67.24
140,1019,914.077,65.6
120,916,948.767,64.18
100,808,980.392,62.04
90,753,1010.1,60.83
80,693,1034.13,59.37
70,630,1052.63,57.71
60,569,1089.32,56.11
55,535,1106.19,55.28
50,502,1123.6,54.24
45,465,1131.22,53
40,429,1157.41,51.62
35,391,1177.86,49.94
30,352,1191.9,48.5
25,313,1223.99,46.58
20,272,1248.44,44.81
15,227,1270.65,42.01
10,176,1295.34,38.46
