L,Cmps,QPS,Recall
1700,1667,1035.2,40.87
1400,1567,1149.43,41.41
1100,1441,1305.48,42.35
1000,1391,1371.74,42.74
900,1334,1459.85,43.12
800,1273,1560.06,43.68
700,1207,1683.5,44.27
600,1130,1838.24,45.17
500,1044,2024.29,46.15
400,945,2331,47.78
300,827,2754.82,49.68
250,757,3076.92,51.23
200,680,3533.57,53.42
180,646,3773.58,54.43
160,609,4048.58,55.65
140,570,4385.96,57.05
120,528,4830.92,58.38
100,482,5405.41,60.48
90,458,5780.35,61.45
80,433,6172.84,62.68
70,405,6711.41,64
60,375,7407.41,65.32
55,358,7812.5,66.22
50,341,8264.46,67.12
45,324,8771.93,68.24
40,306,9523.81,69.15
35,287,10309.3,70.28
30,267,11236,71.3
25,245,12345.7,72.51
20,221,13888.9,73.96
15,193,16129,75.44
10,160,20408.2,77.63
