L,Cmps,QPS,Recall
1700,86935.00,9.74,75.30
1400,86172.00,9.75,74.30
1100,85341.00,9.90,73.00
1000,84911.00,9.86,72.75
900,84718.00,9.83,71.25
800,84379.00,9.75,70.15
700,84116.00,9.82,71.60
600,83786.00,9.88,69.50
500,83402.00,9.86,69.15
400,83005.00,9.88,69.25
300,82619.00,9.97,67.35
250,82396.00,9.89,68.75
200,82067.00,10.05,66.90
180,81946.00,10.15,65.40
160,81809.00,10.18,67.85
140,81731.00,10.02,67.25
120,81630.00,10.11,67.20
100,81418.00,10.26,64.65
90,81245.00,10.22,64.50
80,81204.00,10.29,65.15
70,81023.00,10.18,64.70
60,80918.00,10.02,64.25
55,80897.00,10.12,64.30
50,80834.00,10.10,64.75
45,80710.00,10.21,65.45
40,80622.00,10.23,63.80
35,80510.00,10.36,63.75
30,80356.00,10.39,64.30
25,80058.00,10.22,62.65
20,79587.00,10.47,62.95
15,78652.00,10.74,61.80
10,76755.00,10.88,62.80
