L,Cmps,QPS,Recall
1700,51.00,22222.07,100.00
1400,51.00,41355.81,100.00
1100,51.00,47458.67,100.00
1000,51.00,53344.77,100.00
900,51.00,58592.07,100.00
800,51.00,58895.00,100.00
700,51.00,59917.00,100.00
600,51.00,60162.62,100.00
500,51.00,60267.21,100.00
400,51.00,60819.89,100.00
300,51.00,61364.53,100.00
250,51.00,60932.53,100.00
200,51.00,62065.02,100.00
180,51.00,61456.34,100.00
160,51.00,61960.06,100.00
140,51.00,62195.28,100.00
120,51.00,61687.96,100.00
100,51.00,60636.64,100.00
90,51.00,62224.31,100.00
80,51.00,62140.23,100.00
70,51.00,62286.71,100.00
60,51.00,61398.06,100.00
55,51.00,62684.51,100.00
50,51.00,62361.29,100.00
45,51.00,62866.16,100.00
40,51.00,63638.80,100.00
35,51.00,64425.04,99.95
30,51.00,65884.14,99.95
25,51.00,67152.62,99.95
20,50.00,70291.90,99.95
15,50.00,73292.48,99.50
10,48.00,76718.62,98.85
