efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.05,2143.41,98.1584,158.265
1400,0.05,2176.61,98.2271,158.265
1100,0.05,2527.51,98.8464,149.715
1000,0.05,2764.15,99.1784,142.845
900,0.05,3031.45,99.4932,134.23
800,0.05,3383.98,99.8345,125.18
700,0.05,3809.16,100.164,115.035
600,0.05,4313.22,100.473,104.325
500,0.05,5027.15,100.807,92.385
400,0.0445,5961.42,101.124,81.195
300,0.0445,7205.59,101.421,68.67
250,0.0445,8361.18,101.619,61.465
200,0.0445,9876.5,101.809,54.68
180,0.0445,10625.8,101.883,51.79
160,0.0445,11776.5,101.979,48.545
140,0.0445,12758.3,102.047,45.54
120,0.0445,14110.4,102.125,42.135
100,0.044,15821.6,102.205,38.15
90,0.044,16507.2,102.232,36.26
80,0.0395,17961.6,102.284,34.09
70,0.0395,19677.2,102.334,31.625
60,0.0395,22009.3,102.391,28.895
55,0.039,23587.4,102.423,27.585
50,0.0385,25338.6,102.453,26.31
45,0.0365,27088.9,102.48,25.04
40,0.036,29308.3,102.51,23.685
35,0.032,31427.4,102.534,21.91
30,0.0285,33750.2,102.557,20.42
25,0.0255,37742.3,102.59,18.985
20,0.024,42211.1,102.619,17.185
15,0.0185,47103.2,102.645,15.325
10,0.0155,56752.6,102.683,12.84
