L,Cmps,QPS,Recall
1700,28131,230.176,92.505
1400,24370,290.824,91.555
1100,20292,336.53,90.15
1000,18885,317.007,89.645
900,17415,425.17,88.945
800,15899,470.81,88.175
700,14274,550.509,86.95
600,12640,632.111,85.815
500,10922,739.919,84.205
400,9115,911.162,82.27
300,7197,1165.5,79.495
250,6179,1382.17,77.3
200,5105,1707.94,74.025
180,4676,1876.17,72.725
160,4237,2089.86,71.315
140,3787,2355.71,69.525
120,3321,2710.03,67.11
100,2849,3200,64.265
90,2606,3496.5,62.565
80,2362,3898.64,60.565
70,2116,4385.96,58.61
60,1860,4987.53,55.79
55,1728,5390.84,54.23
50,1598,5899.71,52.65
45,1469,6451.61,51.22
40,1337,7092.2,49.33
35,1204,7936.51,47.155
30,1068,9009.01,44.905
25,928,10416.7,42.005
20,787,12500,38.64
15,644,15503.9,34.735
10,493,20833.3,29.085
