filter_type,ef,query_id,selectivity,selectivity_bucket,top_layer,total_visited,bottom_visited,bottom_visited_frac,layer_0_visited,layer_1_visited,layer_2_visited,layer_3_visited,layer_4_visited,layer_5_visited,layer_6_visited,layer_7_visited,layer_8_visited,layer_0_candidates,layer_1_candidates,layer_2_candidates,layer_3_candidates,layer_4_candidates,layer_5_candidates,layer_6_candidates,layer_7_candidates,layer_8_candidates
containment,1000,0,0.0427308,[0.01,0.1),8,13133,3083,0.234752,3083,0,0,207,2097,3263,1882,2030,571,227,0,0,3,68,238,200,252,12
containment,1000,1,0.0001028,[0,0.001),8,488,264,0.540984,264,0,0,0,40,63,20,24,77,264,0,0,0,40,63,20,24,77
containment,1000,2,0.0001334,[0,0.001),8,635,386,0.607874,386,0,0,14,105,37,8,5,80,386,0,0,14,105,37,8,5,80
containment,1000,3,0.0973284,[0.01,0.1),8,8655,3258,0.37643,3258,0,0,59,509,1110,1080,1974,665,343,0,0,3,19,89,149,340,57
containment,1000,4,3.86e-05,[0,0.001),8,180,105,0.583333,105,0,0,0,23,10,5,1,36,105,0,0,0,23,10,5,1,36
containment,1000,5,0.0002962,[0,0.001),8,1371,1232,0.898614,1232,0,0,0,26,55,4,0,54,909,0,0,0,14,33,3,0,41
containment,1000,6,2.4e-05,[0,0.001),8,109,72,0.66055,72,0,0,0,15,6,0,0,16,72,0,0,0,15,6,0,0,16
containment,1000,7,1.88e-05,[0,0.001),8,90,56,0.622222,56,0,0,0,10,2,0,5,17,56,0,0,0,10,2,0,5,17
containment,1000,8,8.1e-05,[0,0.001),8,370,260,0.702703,260,0,0,0,6,14,19,17,54,260,0,0,0,6,14,19,17,54
containment,1000,9,0.010319,[0.01,0.1),8,7161,3784,0.528418,3784,0,0,36,1200,1110,412,113,506,711,0,0,0,59,123,80,19,8
containment,1000,10,8e-06,[0,0.001),8,40,6,0.15,6,0,0,2,5,1,0,0,26,6,0,0,2,5,1,0,0,26
containment,1000,11,0.0007864,[0,0.001),8,3070,1837,0.598371,1837,0,0,0,213,431,173,226,190,632,0,0,0,46,124,68,88,42
containment,1000,12,0.0427308,[0.01,0.1),8,7297,2334,0.319857,2334,0,0,113,718,1233,958,1375,566,226,0,0,1,65,175,183,326,24
containment,1000,13,0.000158,[0,0.001),8,765,551,0.720261,551,0,0,0,74,42,4,3,91,551,0,0,0,74,42,4,3,91
containment,1000,14,3.56e-05,[0,0.001),8,161,139,0.863354,139,0,0,0,1,5,4,6,6,139,0,0,0,1,5,4,6,6
