filter_type,ef,query_id,selectivity,selectivity_bucket,top_layer,total_visited,bottom_visited,bottom_visited_frac,layer_0_visited,layer_1_visited,layer_2_visited,layer_3_visited,layer_4_visited,layer_5_visited,layer_6_visited,layer_7_visited,layer_8_visited,layer_0_candidates,layer_1_candidates,layer_2_candidates,layer_3_candidates,layer_4_candidates,layer_5_candidates,layer_6_candidates,layer_7_candidates,layer_8_candidates
containment,1000,0,0.00395223,[0.001,0.01),8,3350,1712,0.511045,1712,0,0,12,488,471,121,42,504,451,0,0,3,139,181,45,28,153
containment,1000,1,0.722501,[0.5,1.0],8,13658,3302,0.241763,3302,0,0,1,1061,3234,2187,2155,1718,80,0,0,0,9,123,181,299,308
containment,1000,2,0.722501,[0.5,1.0],8,13525,3331,0.246285,3331,0,0,3,917,2852,2069,2353,2000,70,0,0,0,8,83,136,342,361
containment,1000,3,0.168734,[0.1,0.5),8,12701,3956,0.311472,3956,0,0,11,1521,3281,1680,1216,1036,189,0,0,0,49,206,207,219,130
containment,1000,4,0.00177221,[0.001,0.01),8,1748,913,0.522311,913,0,0,1,137,157,26,6,508,493,0,0,0,88,115,22,4,278
containment,1000,5,0.00481884,[0.001,0.01),8,3900,1890,0.484615,1890,0,0,18,675,578,185,49,505,402,0,0,2,170,207,81,26,112
containment,1000,6,0.252526,[0.1,0.5),8,14265,3758,0.263442,3758,0,0,9,1494,3549,2075,2005,1375,128,0,0,0,41,241,179,261,150
containment,1000,7,0.0144715,[0.01,0.1),8,6950,3331,0.479281,3331,0,0,31,1332,1198,427,102,529,346,0,0,1,176,249,136,38,54
containment,1000,8,0.00183618,[0.001,0.01),8,1776,809,0.455518,809,0,0,6,208,191,48,13,501,433,0,0,3,111,142,38,10,263
containment,1000,9,0.0350493,[0.01,0.1),8,9961,4409,0.442626,4409,0,0,48,2007,2095,640,199,563,310,0,0,0,126,312,136,71,45
containment,1000,10,0.168734,[0.1,0.5),8,11746,4056,0.345309,4056,0,0,4,1817,2946,1288,860,775,156,0,0,0,60,226,206,239,113
containment,1000,11,0.361036,[0.1,0.5),8,13646,3473,0.254507,3473,0,0,1,1408,3102,2095,2167,1400,84,0,0,0,23,149,195,313,236
containment,1000,12,0.361036,[0.1,0.5),8,10293,4077,0.396094,4077,0,0,4,1192,2044,1068,1065,843,134,0,0,0,33,145,190,307,191
containment,1000,13,0.252526,[0.1,0.5),8,13496,3966,0.293865,3966,0,0,5,2023,3567,1654,1205,1076,146,0,0,0,50,189,194,257,164
containment,1000,14,0.252526,[0.1,0.5),8,10518,3823,0.363472,3823,0,0,11,1452,2284,1141,882,925,161,0,0,0,57,202,194,224,162
containment,1000,15,0.00646011,[0.001,0.01),8,4964,2405,0.484488,2405,0,0,15,833,837,293,77,504,356,0,0,1,163,248,113,41,78
containment,1000,16,0.0842872,[0.01,0.1),8,10230,4186,0.409189,4186,0,0,12,1678,2317,996,406,635,180,0,0,0,91,278,227,148,76
containment,1000,17,0.00554152,[0.001,0.01),8,4606,1988,0.431611,1988,0,0,44,820,763,320,162,509,312,0,0,2,161,242,123,61,99
containment,1000,18,0.0297027,[0.01,0.1),8,7941,3927,0.494522,3927,0,0,56,1586,1348,361,136,527,266,0,0,0,183,314,129,67,41
containment,1000,19,0.000997553,[0,0.001),8,998,421,0.421844,421,0,0,3,82,88,27,5,372,421,0,0,3,82,88,27,5,372
containment,1000,20,0.00124944,[0.001,0.01),8,1236,427,0.345469,427,0,0,1,99,135,50,22,502,329,0,0,0,83,117,45,20,406
containment,1000,21,0.361036,[0.1,0.5),8,14541,3078,0.211677,3078,0,0,2,1087,2845,2556,3072,1901,101,0,0,0,21,107,204,311,256
containment,1000,22,0.0632517,[0.01,0.1),8,12437,4079,0.327973,4079,0,0,17,2045,2945,1571,1091,689,188,0,0,0,102,252,197,209,52
containment,1000,23,0.000709682,[0,0.001),8,710,329,0.46338,329,0,0,3,46,49,11,0,272,329,0,0,3,46,49,11,0,272
containment,1000,24,0.722501,[0.5,1.0],8,14649,2668,0.182128,2668,0,0,0,902,3148,2419,2884,2628,68,0,0,0,4,71,132,277,448
containment,1000,25,0.722501,[0.5,1.0],8,14907,2784,0.186758,2784,0,0,0,582,2216,2288,3528,3509,90,0,0,0,5,58,111,309,427
containment,1000,26,0.0480575,[0.01,0.1),8,9530,3745,0.39297,3745,0,0,6,1244,2007,1112,854,562,137,0,0,0,65,216,249,283,50
containment,1000,27,0.0013374,[0.001,0.01),8,1332,715,0.536787,715,0,0,2,107,77,12,6,413,525,0,0,2,80,68,11,4,310
containment,1000,28,0.017754,[0.01,0.1),8,8713,4112,0.471938,4112,0,0,23,1589,1673,571,202,543,354,0,0,0,163,250,128,61,44
containment,1000,29,0.0196312,[0.01,0.1),8,8601,3995,0.464481,3995,0,0,26,1470,1678,660,208,564,312,0,0,0,136,276,155,65,56
containment,1000,30,0.0840883,[0.01,0.1),8,12172,4252,0.349326,4252,0,0,32,2081,2953,1397,797,660,186,0,0,0,83,274,220,175,62
containment,1000,31,0.00232396,[0.001,0.01),8,2243,1088,0.485065,1088,0,0,29,296,252,63,11,504,440,0,0,9,129,146,44,7,225
containment,1000,32,0.0297027,[0.01,0.1),8,10108,4216,0.417095,4216,0,0,36,1987,2126,799,376,568,268,0,0,0,149,270,156,107,50
containment,1000,33,0.0035704,[0.001,0.01),8,3148,1535,0.487611,1535,0,0,13,481,437,146,33,503,420,0,0,4,152,192,76,18,138
containment,1000,34,0.101002,[0.1,0.5),8,10832,4440,0.409897,4440,0,0,21,1326,2376,1200,665,804,227,0,0,0,59,247,186,157,124
containment,1000,35,0.722501,[0.5,1.0],8,15580,1806,0.115918,1806,0,0,0,680,3087,3037,3691,3279,40,0,0,0,8,87,134,332,399
containment,1000,36,0.000521766,[0,0.001),8,522,185,0.354406,185,0,0,0,35,28,11,2,261,185,0,0,0,35,28,11,2,261
containment,1000,37,0.00352942,[0.001,0.01),8,3149,1419,0.450619,1419,0,0,7,530,439,176,75,503,366,0,0,2,176,179,88,36,153
containment,1000,38,0.0111,[0.01,0.1),8,6371,2948,0.462722,2948,0,0,20,1232,1082,389,180,520,307,0,0,0,151,252,147,79,64
containment,1000,39,0.0013374,[0.001,0.01),8,1331,698,0.524418,698,0,0,4,107,90,13,6,413,496,0,0,4,87,85,13,5,310
containment,1000,40,0.00701686,[0.001,0.01),8,5017,2381,0.474586,2381,0,0,20,816,851,317,122,510,374,0,0,2,142,259,99,52,72
containment,1000,41,0.000112949,[0,0.001),8,113,34,0.300885,34,0,0,3,6,3,0,0,67,34,0,0,3,6,3,0,0,67
containment,1000,42,0.000270879,[0,0.001),8,271,108,0.398524,108,0,0,0,16,15,0,0,132,108,0,0,0,16,15,0,0,132
containment,1000,43,0.361036,[0.1,0.5),8,12250,3883,0.31698,3883,0,0,6,1342,2605,1708,1642,1064,135,0,0,0,32,158,196,296,183
containment,1000,44,0.0360648,[0.01,0.1),8,8762,4120,0.470212,4120,0,0,3,1324,1791,651,330,543,245,0,0,0,81,278,204,150,42
containment,1000,45,1.59928e-05,[0,0.001),8,16,2,0.125,2,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,14
containment,1000,46,0.0235335,[0.01,0.1),8,9319,3992,0.428372,3992,0,0,29,1974,1921,605,257,541,265,0,0,0,167,323,130,79,36
containment,1000,47,2.39893e-05,[0,0.001),8,24,6,0.25,6,0,0,0,0,1,0,0,17,6,0,0,0,0,1,0,0,17
containment,1000,48,0.000738669,[0,0.001),8,739,323,0.437077,323,0,0,2,72,63,11,2,266,323,0,0,2,72,63,11,2,266
containment,1000,49,0.0252507,[0.01,0.1),8,7309,3609,0.493775,3609,0,0,38,1344,1264,408,123,523,300,0,0,1,144,307,151,66,31
containment,1000,50,0.000590735,[0,0.001),8,591,283,0.478849,283,0,0,22,62,20,5,1,198,283,0,0,22,62,20,5,1,198
containment,1000,51,0.00256885,[0.001,0.01),8,2438,1276,0.52338,1276,0,0,16,334,240,56,14,502,459,0,0,4,154,143,36,7,197
