filter_type,ef,query_id,selectivity,selectivity_bucket,top_layer,total_visited,bottom_visited,bottom_visited_frac,layer_0_visited,layer_1_visited,layer_2_visited,layer_3_visited,layer_4_visited,layer_5_visited,layer_6_visited,layer_7_visited,layer_8_visited,layer_0_candidates,layer_1_candidates,layer_2_candidates,layer_3_candidates,layer_4_candidates,layer_5_candidates,layer_6_candidates,layer_7_candidates,layer_8_candidates
equality,1000,0,0.000571744,[0,0.001),0,572,572,1,572,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0
equality,1000,1,0.0741018,[0.01,0.1),0,4330,4330,1,4330,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,2,0.0741018,[0.01,0.1),0,4649,4649,1,4649,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,3,0.0227388,[0.01,0.1),0,4867,4867,1,4867,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,4,0.000392824,[0,0.001),0,392,392,1,392,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0
equality,1000,5,0.000576742,[0,0.001),0,576,576,1,576,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0
equality,1000,6,0.0400371,[0.01,0.1),0,5360,5360,1,5360,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,7,0.00205408,[0.001,0.01),0,1754,1754,1,1754,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,8,0.000205908,[0,0.001),0,206,206,1,206,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0
equality,1000,9,0.0064631,[0.001,0.01),0,3239,3239,1,3239,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,10,0.0170284,[0.01,0.1),0,3131,3131,1,3131,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,11,0.0400371,[0.01,0.1),0,3378,3378,1,3378,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,12,0.0400371,[0.01,0.1),0,4260,4260,1,4260,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,13,0.000857616,[0,0.001),0,855,855,1,855,0,0,0,0,0,0,0,0,855,0,0,0,0,0,0,0,0
equality,1000,14,0.00972564,[0.001,0.01),0,3190,3190,1,3190,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,15,0.000363837,[0,0.001),0,364,364,1,364,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0
equality,1000,16,0.00488181,[0.001,0.01),0,2405,2405,1,2405,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,17,0.000146934,[0,0.001),0,147,147,1,147,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
equality,1000,18,5.29763e-05,[0,0.001),0,53,53,1,53,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
equality,1000,19,0.0170284,[0.01,0.1),0,3369,3369,1,3369,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,20,0.00364837,[0.001,0.01),0,2939,2939,1,2939,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,21,0.000119946,[0,0.001),0,120,120,1,120,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
equality,1000,22,0.0741018,[0.01,0.1),0,6241,6241,1,6241,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,23,0.0741018,[0.01,0.1),0,3812,3812,1,3812,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,24,0.00151632,[0.001,0.01),0,1440,1440,1,1440,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,25,0.000265881,[0,0.001),0,266,266,1,266,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0
