filter_type,ef,query_id,selectivity,selectivity_bucket,top_layer,total_visited,bottom_visited,bottom_visited_frac,layer_0_visited,layer_1_visited,layer_2_visited,layer_3_visited,layer_4_visited,layer_5_visited,layer_6_visited,layer_7_visited,layer_8_visited,layer_0_candidates,layer_1_candidates,layer_2_candidates,layer_3_candidates,layer_4_candidates,layer_5_candidates,layer_6_candidates,layer_7_candidates,layer_8_candidates
equality,1000,0,3.4e-06,[0,0.001),0,17,17,1,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
equality,1000,1,4.72e-05,[0,0.001),0,188,188,1,188,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0
equality,1000,2,2.4e-06,[0,0.001),0,12,12,1,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
equality,1000,3,0.0002452,[0,0.001),0,1191,1191,1,1191,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,4,0.0182258,[0.01,0.1),0,3949,3949,1,3949,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,5,0.0007412,[0,0.001),0,2386,2386,1,2386,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,6,0.0084178,[0.001,0.01),0,3040,3040,1,3040,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,7,0.000583,[0,0.001),0,2213,2213,1,2213,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,8,9.6e-06,[0,0.001),0,44,44,1,44,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
equality,1000,9,0.001496,[0.001,0.01),0,3056,3056,1,3056,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,10,0.0072796,[0.001,0.01),0,3137,3137,1,3137,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,11,0.0001038,[0,0.001),0,486,486,1,486,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0
equality,1000,12,0.0001626,[0,0.001),0,781,781,1,781,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0
equality,1000,13,0.0182258,[0.01,0.1),0,3500,3500,1,3500,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,14,0.0001658,[0,0.001),0,806,806,1,806,0,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0
equality,1000,15,0.000185,[0,0.001),0,879,879,1,879,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0
equality,1000,16,2.48e-05,[0,0.001),0,99,99,1,99,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
equality,1000,17,0.008618,[0.001,0.01),0,3886,3886,1,3886,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,18,0.0011894,[0.001,0.01),0,2956,2956,1,2956,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,19,8.4e-06,[0,0.001),0,31,31,1,31,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
equality,1000,20,0.0022716,[0.001,0.01),0,3057,3057,1,3057,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
equality,1000,21,0.0003326,[0,0.001),0,1513,1513,1,1513,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
