filter_type,ef,query_id,selectivity,selectivity_bucket,top_layer,total_visited,bottom_visited,bottom_visited_frac,layer_0_visited,layer_1_visited,layer_2_visited,layer_3_visited,layer_4_visited,layer_5_visited,layer_6_visited,layer_7_visited,layer_8_visited,layer_0_candidates,layer_1_candidates,layer_2_candidates,layer_3_candidates,layer_4_candidates,layer_5_candidates,layer_6_candidates,layer_7_candidates,layer_8_candidates
containment,200,0,8.4e-06,[0,0.001),8,28,23,0.821429,23,0,0,0,0,0,0,2,3,23,0,0,0,0,0,0,2,3
containment,200,1,2.32e-05,[0,0.001),0,10,10,1,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
containment,200,2,2.72e-05,[0,0.001),8,133,83,0.62406,83,0,0,0,0,0,0,0,50,83,0,0,0,0,0,0,0,50
containment,200,3,0.0001652,[0,0.001),8,461,173,0.375271,173,0,0,0,0,0,5,188,95,95,0,0,0,0,0,2,67,36
containment,200,4,8.4e-06,[0,0.001),0,32,32,1,32,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
containment,200,5,0.000232,[0,0.001),8,575,345,0.6,345,0,0,0,0,0,10,145,75,112,0,0,0,0,0,2,50,36
containment,200,6,2.6e-06,[0,0.001),0,13,13,1,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
containment,200,7,4.2e-06,[0,0.001),0,21,21,1,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
containment,200,8,3.6e-06,[0,0.001),8,16,2,0.125,2,0,0,0,0,0,0,10,4,2,0,0,0,0,0,0,10,4
containment,200,9,3.6e-06,[0,0.001),0,11,11,1,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
containment,200,10,2.8e-06,[0,0.001),0,14,14,1,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
containment,200,11,9.32e-05,[0,0.001),8,414,252,0.608696,252,0,0,0,0,0,0,39,123,120,0,0,0,0,0,0,10,70
containment,200,12,6.2e-06,[0,0.001),0,32,32,1,32,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
containment,200,13,2.6e-06,[0,0.001),0,18,18,1,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
containment,200,14,2.4e-06,[0,0.001),0,12,12,1,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
