L,Cmps,QPS,Recall
1700,2728,1005.03,91.6
1400,2512,1176.47,91.45
1100,2259,1408.45,90.95
1000,2164,1503.76,90.55
900,2061,1639.34,90.1
800,1950,1785.71,89.85
700,1829,1960.78,89.6
600,1698,2197.8,89.15
500,1551,2500,88.45
400,1389,2898.55,87.85
300,1196,3508.77,87.45
250,1085,4000,87.15
200,959,4545.45,86.95
180,906,4878.05,86.65
160,848,5263.16,86.45
140,786,5714.29,86
120,721,6250,85.8
100,649,6896.55,85.45
90,610,7407.41,85.2
80,569,7692.31,85.1
70,525,8333.33,84.95
60,480,9090.91,84.65
55,457,9523.81,84.6
50,433,10000,84.45
45,408,10526.3,84.35
40,382,10526.3,84.05
35,353,11764.7,84
30,322,12500,83.75
25,289,13333.3,83.6
20,257,14285.7,83.45
15,220,15384.6,83.1
10,181,16666.7,82.75
