ef,recall,qps,dist_comp
1700,0.7287,11.015,15330.6
1400,0.7157,14.4249,13713.8
1100,0.7004,20.0126,11908.4
1000,0.6943,22.7892,11252.2
900,0.6856,26.252,10564.6
800,0.6763,30.8132,9832.34
700,0.6657,36.7593,9061.07
600,0.6534,45.1236,8230.8
500,0.6316,57.6274,7332.92
400,0.5996,77.0428,6357.77
300,0.5538,111.553,5270.45
250,0.5255,140.24,4672.24
200,0.4918,183.849,4023.97
180,0.4751,209.554,3749.52
160,0.4584,241.427,3461.08
140,0.441,281.989,3160.04
120,0.4224,336.876,2842.34
100,0.4018,415.25,2506.01
90,0.3906,464.411,2332.17
80,0.38,529.17,2149.32
70,0.369,611.991,1958.24
60,0.3564,719.364,1760.52
55,0.3497,774.211,1657.91
50,0.3412,873.299,1552.64
45,0.3346,950.623,1443.83
40,0.3258,1071.99,1332.64
35,0.3167,1214.5,1216.67
30,0.3065,1401.2,1098.17
25,0.2953,1637.4,973.73
20,0.283,1959.42,845.581
15,0.2665,2427.17,711.761
10,0.2447,3274.22,569.984
