efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.9772,61.3083,56.3411,14471
1400,0.9754,74.1715,67.0228,12511.5
1100,0.9732,92.4992,81.6396,10415.8
1000,0.9719,101.528,88.5929,9682.09
900,0.9704,112.241,96.6426,8921.77
800,0.9684,125.083,106.014,8141.56
700,0.9649,141.354,117.475,7335.19
600,0.961,162.504,131.722,6494.8
500,0.9567,191.549,150.181,5622.36
400,0.9509,234.11,175.145,4704.16
300,0.94,302.856,210.973,3727.13
250,0.9323,355.763,235.355,3213.71
200,0.9212,433.362,266.981,2678.51
180,0.9141,477.741,283.188,2457.11
160,0.907,528.588,300.311,2230.67
140,0.8981,594.506,320.501,1998.78
120,0.884,683.389,344.668,1760.31
100,0.8683,801.72,372.389,1516.23
90,0.8574,878.943,388.233,1391.31
80,0.8445,975.749,406.026,1263.93
70,0.829,1096.53,425.53,1134.68
60,0.8099,1252.92,447.192,1003.31
55,0.797,1348.96,458.852,935.339
50,0.7789,1467.5,471.815,868.119
45,0.7626,1608.66,485.513,798.297
40,0.7435,1779.41,499.993,727.623
35,0.7136,1993.83,515.573,656.028
30,0.6793,2270.75,532.36,583.287
25,0.6345,2643.08,550.543,508.501
20,0.5751,3200.26,571.26,432.125
15,0.4841,4043.28,593.343,352.486
10,0.339,5614.85,618.757,268.037
