L,Cmps,QPS,Recall
1700,4679,429,99.86
1400,4193,484.731,99.84
1100,3651,564.334,99.81
1000,3455,594.884,99.8
900,3248,636.537,99.76
800,3032,679.81,99.73
700,2802,747.384,99.73
600,2556,826.446,99.68
500,2293,931.099,99.62
400,2007,1082.25,99.5
300,1687,1298.7,99.28
250,1509,1472.75,99.1
200,1316,1703.58,98.86
180,1234,1818.18,98.7
160,1148,1972.39,98.49
140,1057,2150.54,98.3
120,961,2352.94,98.04
100,858,2680.97,97.51
90,805,2873.56,97.19
80,748,3105.59,96.91
70,689,3367,96.46
60,626,3717.47,95.97
55,594,3937.01,95.64
50,560,4166.67,95.07
45,524,4444.44,94.64
40,487,4784.69,94
35,450,5181.35,93.28
30,410,5681.82,92.31
25,366,6172.84,90.95
20,322,7042.25,89.15
15,276,8264.46,86.68
10,223,10101,82.02
