ef,recall,qps,dist_comp,hops
1700,0.18,85,19332.348,1700.202
1400,0.179,100,16558.915,1400.223
1100,0.179,124,13631.44,1100.268
1000,0.178,134,12611.242,1000.305
900,0.178,147,11566.9,900.305
800,0.177,164,10500.206,800.364
700,0.177,180,9396.996,700.374
600,0.176,206,8262.216,600.424
500,0.175,242,7089.184,500.483
400,0.173,295,5864.589,400.605
300,0.169,380,4582.925,300.771
250,0.166,447,3911.419,250.844
200,0.163,544,3219.818,200.946
180,0.16,598,2936.494,181.025
160,0.157,662,2650.273,161.148
140,0.154,744,2358.59,141.343
120,0.151,851,2059.228,121.526
100,0.144,995,1753.134,101.738
90,0.141,1089,1597.327,91.835
80,0.137,1203,1440.231,81.956
70,0.133,1342,1284.281,72.205
60,0.125,1513,1126.161,62.583
55,0.121,1632,1042.957,57.631
50,0.117,1760,961.814,52.768
45,0.113,1617,880.64,47.902
40,0.106,1701,798.118,43.032
35,0.1,1879,713.733,38.193
30,0.093,2099,630.942,33.43
25,0.084,2887,543.346,28.545
20,0.074,3429,456.93,23.674
15,0.063,4074,369.944,18.811
10,0.046,5149,277.178,13.735
