efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.2599,252.25,221.785,2472.67
1400,0.259,305.674,262.054,2151.41
1100,0.2579,384.674,318.05,1805.15
1000,0.2568,420.533,342.174,1681.87
900,0.2561,464.198,370.534,1556.81
800,0.2547,513.897,401.531,1425.31
700,0.2533,584.749,443.52,1288.93
600,0.2513,671.803,491.864,1146.95
500,0.2498,790.182,552.461,996.887
400,0.2472,960.991,630.857,837.983
300,0.2433,1236.55,738.959,666.867
250,0.2404,1449.91,810.208,576.929
200,0.2361,1760.93,898.93,482.222
180,0.2336,1925.59,939.962,442.887
160,0.2313,2138.68,988.015,402.671
140,0.2265,2388.38,1038.16,362.14
120,0.2229,2725.78,1097.19,319.678
100,0.216,3175.17,1163.47,276.665
90,0.2132,3444.46,1197.79,254.54
80,0.2092,3816.04,1239.77,231.748
70,0.2038,4245.78,1281.92,208.827
60,0.1966,4818.07,1329.6,185.296
55,0.1926,5172.15,1355.21,172.854
50,0.1876,5582.35,1381.81,160.629
45,0.1827,6048.88,1408.71,148.32
40,0.1762,6626.82,1437.91,135.717
35,0.1667,7342.37,1468.97,122.987
30,0.1565,8208.16,1500.64,109.894
25,0.1459,9354.46,1535.03,96.509
20,0.1288,10948.6,1572.6,82.194
15,0.1065,13214,1612.31,67.596
10,0.0766,17002.7,1657.37,51.729
