ef,recall,qps,dist_comp
1700,0.7454,18.9844,13508.2
1400,0.7293,25.0027,11976
1100,0.7044,34.8974,10277.7
1000,0.6907,39.194,9670.55
900,0.6732,45.0164,9035.21
800,0.6533,52.4497,8365.28
700,0.6297,62.3873,7660.61
600,0.5961,77.2101,6911.68
500,0.56,99.8027,6109.19
400,0.5185,133.332,5238.69
300,0.4701,187.218,4286.03
250,0.4442,229.262,3768.21
200,0.4128,309.12,3217.38
180,0.4002,336.877,2985.27
160,0.3866,405.671,2745.05
140,0.3736,450.925,2493.82
120,0.3602,531.422,2229.33
100,0.345,640.712,1955.79
90,0.3367,763.417,1814.32
80,0.3268,809.846,1666.73
70,0.3177,989.311,1514.88
60,0.3072,1160.4,1356.5
55,0.3025,1235.64,1276.37
50,0.2955,1372.66,1195.16
45,0.2885,1410.43,1111.17
40,0.2827,1679.21,1027.98
35,0.2738,1765.94,939.382
30,0.2638,2160.4,849.502
25,0.2541,2524.25,756.901
20,0.2429,2739.72,661.879
15,0.2272,3377.48,564.039
10,0.2013,4751.5,454.59
