L,Cmps,QPS,Recall
1700,44670,44.8773,99.39
1400,39693,53.1519,99.28
1100,34134,62.6331,99.16
1000,32118,66.9075,99.13
900,30000,72.0098,99.04
800,27768,74.7049,99.04
700,25407,82.9256,98.95
600,22896,93.6856,98.88
500,20202,105.086,98.81
400,17283,125.172,98.57
300,14076,154.036,98.39
250,12329,172.563,98.27
200,10464,207.383,97.94
180,9679,226.091,97.84
160,8863,236.518,97.57
140,8021,263.227,97.34
120,7149,308.737,97.08
100,6231,354.484,96.63
90,5757,383.583,96.35
80,5269,413.907,96
70,4762,424.268,95.24
60,4244,478.469,94.52
55,3982,509.424,94.11
50,3712,544.662,93.76
45,3440,587.544,93.17
40,3156,667.111,92.23
35,2874,744.602,91.58
30,2586,825.083,90.44
25,2287,929.368,88.87
20,1981,1067.24,86.6
15,1655,1269.04,82.13
10,1300,1597.44,74.59
