L,Cmps,QPS,Recall
1700,12183,374.742,100
1400,10785,443.951,100
1100,9244,544.366,100
1000,8691,591.017,100
900,8113,648.719,100
800,7508,716.076,100
700,6871,803.859,100
600,6198,916.59,100
500,5476,1072.39,100
400,4700,1292.82,100
300,3848,1648.8,99.99
250,3385,1912.05,99.985
200,2889,2322.88,99.965
180,2680,2534.85,99.945
160,2462,2785.52,99.92
140,2237,3134.8,99.88
120,2000,3533.57,99.835
100,1753,4140.79,99.755
90,1624,4514.67,99.66
80,1491,4975.12,99.565
70,1354,5617.98,99.465
60,1211,6309.15,99.275
55,1138,6779.66,99.09
50,1062,7352.94,98.855
45,985,8000,98.56
40,906,8771.93,98.18
35,825,9708.74,97.52
30,742,10989,96.74
25,657,12658.2,95.435
20,569,15037.6,93.52
15,479,18691.6,90.565
10,385,23809.5,84.815
