L,Cmps,QPS,Recall
1700,8212,168.776,92.5
1400,7728,186.047,91
1100,7086,209.424,89.5
1000,6819,219.78,89.5
900,6518,232.558,89
800,6208,246.914,88.5
700,5836,264.901,87
600,5375,291.971,85.75
500,4839,327.869,82.5
400,4314,370.37,80.75
300,3617,449.438,79.75
250,3203,506.329,78.75
200,2768,597.015,78
180,2562,645.161,77
160,2373,701.754,76.25
140,2160,769.231,75.25
120,1917,869.565,71.75
100,1682,1000,71.25
90,1547,1081.08,68
80,1405,1212.12,66.25
70,1274,1333.33,64.25
60,1148,1481.48,64
55,1077,1600,63.25
50,1002,1666.67,62
45,935,1818.18,61.25
40,868,2000,60.75
35,779,2222.22,59.75
30,692,2352.94,56
25,609,2857.14,54
20,515,3333.33,50
15,427,4000,44.75
10,308,5714.29,36.75
