L,Cmps,QPS,Recall
1700,2099,1169.59,93.3
1400,1951,1342.28,92.3
1100,1775,1600,91
1000,1706,1709.4,90.7
900,1632,1834.86,90.4
800,1552,2020.2,90.1
700,1467,2222.22,89.7
600,1369,2500,89.05
500,1262,2816.9,88.4
400,1141,3333.33,88.1
300,996,4081.63,87.35
250,911,4545.45,86.65
200,817,5405.41,85.95
180,775,5714.29,85.85
160,729,6250,85.75
140,679,6666.67,85.5
120,628,7407.41,85.15
100,570,8333.33,84.9
90,538,8695.65,84.8
80,505,9523.81,84.75
70,468,10000,84.45
60,430,11111.1,84.15
55,411,11764.7,83.95
50,390,12500,83.85
45,367,12500,83.8
40,345,13333.3,83.7
35,319,14285.7,83.6
30,293,15384.6,83.4
25,264,16666.7,83.35
20,233,18181.8,83.25
15,197,20000,82.8
10,161,22222.2,81.85
