L,Cmps,QPS,Recall
1700,58684,99.1965,93.655
1400,51444,117.945,92.76
1100,43562,145.89,91.735
1000,40699,159.16,91.175
900,37774,173.807,90.73
800,34699,192.957,90.09
700,31479,214.961,89.26
600,28093,245.399,88.5
500,24481,284.414,87.275
400,20595,347.283,85.41
300,16376,448.43,82.445
250,14203,526.177,81.05
200,11856,640.615,78.635
180,10864,703.73,77.2
160,9874,773.395,75.82
140,8852,875.273,74.12
120,7798,1005.03,72.145
100,6714,1176.47,69.45
90,6159,1291.16,67.895
80,5590,1432.66,66.03
70,5018,1597.44,64.05
60,4428,1829.83,61.585
55,4130,1970.44,60.45
50,3821,2116.4,58.92
45,3515,2312.14,57.4
40,3204,2512.56,55.615
35,2888,2797.2,53.475
30,2566,3194.89,51.28
25,2239,3724.39,48.625
20,1904,4366.81,45.44
15,1558,5405.41,41.125
10,1198,7017.54,35.44
