L,Cmps,QPS,Recall
1700,4925,803.213,99.5
1400,4330,1041.67,99.35
1100,3651,1324.5,99.15
1000,3399,1438.85,99.1
900,3131,1587.3,98.95
800,2849,1769.91,98.85
700,2564,1980.2,98.5
600,2280,2272.73,98.3
500,1992,2666.67,97.6
400,1713,3174.6,97.05
300,1436,4000,95.75
250,1293,4545.45,95.2
200,1147,5263.16,94.15
180,1088,5555.56,93.65
160,1023,6060.61,92.45
140,950,6666.67,92.05
120,878,7407.41,91.75
100,799,8333.33,90.85
90,757,8695.65,90.3
80,713,9523.81,89.7
70,661,10526.3,88.25
60,609,11111.1,87.9
55,578,11764.7,86.3
50,550,13333.3,85.35
45,520,10526.3,83.45
40,493,14285.7,82.7
35,463,15384.6,81.45
30,432,16666.7,79.75
25,397,20000,76.8
20,354,22222.2,71.45
15,308,25000,64.6
10,258,33333.3,57.9
