L,Cmps,QPS,Recall
1700,4713,407.332,100
1400,4290,464.037,100
1100,3809,536.193,100
1000,3634,568.182,100
900,3447,604.23,100
800,3248,651.466,100
700,3033,711.744,100
600,2800,787.402,100
500,2549,884.956,100
400,2268,1030.93,99.95
300,1944,1242.24,99.85
250,1762,1398.6,99.85
200,1559,1626.02,99.75
180,1471,1754.39,99.75
160,1377,1886.79,99.65
140,1278,2061.86,99.55
120,1171,2298.85,99.45
100,1054,2597.4,99.45
90,992,2777.78,99.4
80,926,3030.3,99.35
70,857,3278.69,99.15
60,784,3636.36,99.05
55,745,3846.15,98.85
50,705,4166.67,98.75
45,662,4347.83,98.35
40,617,4761.9,98.25
35,570,5263.16,97.9
30,521,5714.29,97.45
25,469,6451.61,96.8
20,412,7407.41,95.9
15,353,8695.65,94.1
10,287,11111.1,90.5
