efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.002,37786.5,102.223,0.035
1400,0.002,43995.4,102.262,0.035
1100,0.002,51746.4,102.298,0.035
1000,0.002,58072.7,102.32,0.035
900,0.002,64512.9,102.338,0.035
800,0.002,72597.2,102.356,0.035
700,0.002,72729.4,102.356,0.035
600,0.002,73823.9,102.358,0.035
500,0.002,73128.8,102.357,0.035
400,0.002,74242,102.359,0.035
300,0.002,73584.3,102.358,0.035
250,0.002,75274.7,102.361,0.035
200,0.002,73882.4,102.359,0.035
180,0.002,73882.4,102.359,0.035
160,0.002,71630.2,102.354,0.035
140,0.002,73179.9,102.357,0.035
120,0.002,74486,102.36,0.035
100,0.002,73960.6,102.359,0.035
90,0.002,74684.9,102.36,0.035
80,0.002,73720.1,102.358,0.035
70,0.002,74268.3,102.359,0.035
60,0.002,73500.5,102.358,0.035
55,0.002,74380.3,102.36,0.035
50,0.002,73558.5,102.358,0.035
45,0.002,61482,102.33,0.035
40,0.002,69184.4,102.349,0.035
35,0.002,64187.1,102.337,0.035
30,0.002,63473.1,102.335,0.035
25,0.002,63191,102.335,0.035
20,0.002,66958.9,102.344,0.035
15,0.002,70127.1,102.351,0.035
10,0.002,73179.9,102.357,0.035
