efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.2376,324.099,243.284,1435.07
1400,0.2373,396.221,281.786,1227.51
1100,0.2358,501.351,331.174,1011.97
1000,0.2356,550.044,351.742,936.243
900,0.2352,610.037,375.348,859.258
800,0.2346,682.61,401.62,780.706
700,0.2338,771.742,430.9,698.342
600,0.2321,890.286,465.509,614.676
500,0.2291,1050.97,505.957,528.685
400,0.226,1286.53,554.865,439.078
300,0.2217,1653.86,613.648,346.431
250,0.2174,1926.82,647.693,298.069
200,0.2149,2342.51,688.779,249.014
180,0.2117,2552.72,705.87,228.336
160,0.2098,2852.07,726.969,207.753
140,0.2071,3178.72,746.523,187.204
120,0.2035,3622.3,768.628,166.152
100,0.1985,4213.04,792.198,144.658
90,0.1967,4576.64,804.212,133.571
80,0.193,5045.15,817.553,122.315
70,0.1888,5599.95,830.893,110.797
60,0.1824,6299.09,844.805,99.199
55,0.1792,6719.97,851.961,93.51
50,0.1739,7154.11,858.567,87.363
45,0.1683,7834.3,867.607,81.063
40,0.1598,8538.32,875.602,74.944
35,0.1475,9437.07,884.238,68.349
30,0.138,10472.6,892.507,61.901
25,0.1256,11869.4,901.549,54.973
20,0.1105,13698.8,910.788,48.042
15,0.09,16330.3,920.651,40.418
10,0.0598,20622.4,931.582,32.119
