ef,recall,qps,dist_comp
1700,0.5102,73.4293,5482.17
1400,0.4965,92.6585,4777.85
1100,0.48,126.308,4036.61
1000,0.4743,147.266,3778.79
900,0.4649,161.351,3513.84
800,0.4573,188.01,3239.67
700,0.4463,219.464,2958.8
600,0.4351,274.619,2664.6
500,0.4218,325.442,2358.58
400,0.4059,417.224,2035.92
300,0.3878,597.367,1688.53
250,0.374,731.582,1502.27
200,0.357,910.916,1305.34
180,0.3491,959.274,1223.56
160,0.3428,1079.01,1139.78
140,0.3337,1304.37,1052.64
120,0.3238,1410.5,962.304
100,0.312,1788.66,865.58
90,0.3061,1946.57,815.531
80,0.2986,2146.47,762.003
70,0.2916,2262.11,709.538
60,0.283,2568.53,651.86
55,0.2787,2939.21,622.568
50,0.2725,3220.39,591.555
45,0.2672,3499.45,560.055
40,0.2596,3517.69,529.981
35,0.25,3769.93,495.065
30,0.2379,4689.06,460.359
25,0.2214,4885.17,422.785
20,0.2005,6167.14,382.879
15,0.1727,6639.82,338.285
10,0.1386,9285.19,289.374
