L,Cmps,QPS,Recall
1700,13655,184.57,93.69
1400,12047,215.471,92.88
1100,10258,263.783,91.64
1000,9601,273.075,91.01
900,8913,288.684,90.2
800,8236,312.695,89.59
700,7517,341.997,88.81
600,6737,379.795,87.83
500,5937,428.449,86.39
400,5056,496.771,84.68
300,4060,605.694,81.93
250,3539,680.735,80.34
200,2993,786.164,78.34
180,2759,840.336,77.23
160,2525,903.342,76.24
140,2280,980.392,74.85
120,2027,1075.27,73.23
100,1764,1191.9,71.19
90,1626,1269.04,69.96
80,1487,1355.01,68.7
70,1345,1453.49,67.03
60,1189,1584.79,64.64
55,1111,1658.37,63.5
50,1037,1785.71,62.42
45,958,1996.01,61.24
40,875,2123.14,59.62
35,788,2257.34,57.8
30,705,2409.64,56
25,618,2577.32,53.56
20,527,2777.78,50.43
15,431,3086.42,46.54
10,331,3448.28,41.84
