L,Cmps,QPS,Recall
1700,75716,38.5713,87.62
1400,65623,45.0227,86.1
1100,54748,54.4573,84.15
1000,50846,54.5137,83.2
900,46893,58.5926,82.39
800,42788,63.743,81.54
700,38500,70.8416,80.32
600,34017,86.8131,78.69
500,29367,95.2835,77.03
400,24464,109.337,74.79
300,19232,136.949,71.78
250,16544,157.257,69.96
200,13712,186.637,67.07
180,12524,222.42,65.63
160,11339,245.58,64.13
140,10140,272.109,62.37
120,8897,303.767,60.25
100,7616,321.957,57.89
90,6972,336.022,56.36
80,6317,363.636,54.76
70,5657,398.089,52.97
60,4967,441.112,50.94
55,4612,518.403,49.64
50,4264,564.334,48.37
45,3913,536.481,47.23
40,3566,571.755,45.67
35,3215,613.121,44.05
30,2854,666.223,42.32
25,2482,736.377,40.03
20,2106,819.001,37.58
15,1724,933.707,34.4
10,1318,1096.49,29.74
