efSearch,recall@10,QPS,QPS_with_filter,dist_comps_per_query
1700,0.5327,149.418,117.233,4564.07
1400,0.5321,183.324,137.133,3902.46
1100,0.5291,233.759,163.524,3208.97
1000,0.5283,257.471,174.785,2969.01
900,0.5271,285.708,187.355,2724.14
800,0.5263,319.947,201.495,2474.72
700,0.5252,363.793,218.046,2218.84
600,0.523,420.037,237.072,1954.46
500,0.5213,490.192,257.905,1685.5
400,0.5153,602.77,286.009,1405.08
300,0.5072,781.465,320.818,1115.9
250,0.5024,919.599,341.902,965.434
200,0.4947,1117.56,366.006,810.395
180,0.4917,1199.45,374.378,745.833
160,0.485,1382.53,390.519,680.333
140,0.4795,1554.48,403.114,613.81
120,0.4728,1775.01,416.535,545.76
100,0.4604,2075.76,431.195,476.236
90,0.4529,2203.42,436.448,440.791
80,0.4446,2419.84,444.319,404.874
70,0.433,2763.29,454.696,367.246
60,0.4149,3131.36,463.664,329.01
55,0.4071,3349.02,468.17,309.081
50,0.4017,3634.25,473.363,289.688
45,0.3927,3936.74,478.149,269.537
40,0.3787,4320.44,483.362,248.447
35,0.3627,4787.9,488.701,227.058
30,0.3389,5393.1,494.363,205.102
25,0.307,6194.29,500.295,182.112
20,0.2718,7345.27,506.708,157.731
15,0.2155,9025.52,513.3,131.943
10,0.1505,11913.5,520.475,103.744
