L,Cmps,QPS,Recall
1700,78435.00,23.43,24.65
1400,73688.00,25.19,23.60
1100,68923.00,25.87,21.15
1000,68352.00,25.93,21.10
900,67815.00,25.64,21.40
800,66619.00,26.18,20.85
700,64740.00,26.78,20.40
600,62883.00,26.92,19.45
500,62149.00,27.25,18.60
400,60740.00,27.83,17.25
300,59829.00,27.19,17.05
250,59393.00,27.94,16.25
200,58948.00,27.52,16.45
180,58708.00,27.84,16.60
160,59219.00,27.31,16.35
140,58290.00,28.42,15.80
120,58073.00,26.23,15.65
100,57835.00,26.47,14.30
90,57723.00,26.97,15.05
80,58179.00,27.98,14.20
70,57497.00,28.85,13.85
60,57358.00,29.00,14.05
55,57227.00,29.03,14.30
50,57173.00,28.79,13.70
45,57064.00,28.60,13.75
40,57023.00,28.38,13.65
35,56828.00,28.61,13.80
30,56618.00,29.57,12.75
25,55778.00,30.20,12.70
20,55323.00,30.76,12.20
15,54659.00,31.70,12.45
10,53162.00,31.63,11.90
