ef,recall,qps,distance_computations_per_query
1700,0.991,17.1762,86282.8
1400,0.991,21.6521,73915.7
1100,0.991,27.8629,60940.2
1000,0.991,26.9978,56461
900,0.9905,33.0633,51890.5
800,0.9905,40.0802,47224.1
700,0.99,44.8833,42397
600,0.989,51.2295,37461.3
500,0.989,59.5415,32433.6
400,0.9885,71.9424,27143.8
300,0.9865,92.1659,21525.1
250,0.983,107.817,18551.2
200,0.982,130.719,15507.5
180,0.9815,142.146,14245.7
160,0.979,157.853,12964.7
140,0.9785,176.523,11661.9
120,0.975,201.41,10294.3
100,0.9715,234.192,8911.28
90,0.971,255.102,8211.6
80,0.9705,279.72,7491.44
70,0.968,312.989,6762.48
60,0.966,353.982,6025.84
55,0.9645,378.788,5656.07
50,0.9625,405.68,5266.03
45,0.961,440.529,4869.02
40,0.9585,485.437,4464.27
35,0.956,539.084,4056.93
30,0.949,606.061,3651.43
25,0.9375,696.864,3220.99
20,0.9305,823.045,2783.49
15,0.9145,1000,2331.26
10,0.874,1333.33,1858.89
