ef,recall,qps,distance_computations_per_query
1700,0.99,27.9174,63825.6
1400,0.99,32.7976,54700.9
1100,0.99,38.9636,45141.5
1000,0.99,43.29,41852.9
900,0.9895,47.3485,38490.1
800,0.9895,52.2193,35045.8
700,0.9895,58.2581,31508.5
600,0.9895,66.1813,27859.1
500,0.989,77.0713,24074.8
400,0.989,82.5764,20121.3
300,0.988,99.5025,15987.2
250,0.987,115.808,13819.4
200,0.9865,139.567,11563.8
180,0.985,152.091,10618.1
160,0.983,168.35,9672.93
140,0.9825,187.97,8699.41
120,0.9805,213.675,7694.4
100,0.979,248.756,6658.18
90,0.9785,271.37,6128.66
80,0.975,299.401,5585.7
70,0.975,331.675,5042.01
60,0.972,373.134,4494.31
55,0.9685,402.414,4203.89
50,0.966,433.839,3916.46
45,0.963,471.698,3616.16
40,0.959,519.481,3312.43
35,0.9525,574.713,3018.39
30,0.9475,649.351,2705.74
25,0.936,749.064,2384.42
20,0.9115,884.956,2059.09
15,0.882,1098.9,1718.73
10,0.8245,1470.59,1359.47
