ef,recall,qps,distance_computations_per_query
1700,0.9965,48.9716,29754.2
1400,0.9965,58.0215,25569.4
1100,0.9965,70.4722,21138.3
1000,0.996,76.1615,19617.6
900,0.996,83.091,18032.1
800,0.996,91.0747,16437.5
700,0.996,101.885,14796.8
600,0.996,115.274,13102.7
500,0.996,133.958,11342
400,0.996,159.872,9507.95
300,0.995,201.41,7578.76
250,0.994,233.918,6579.85
200,0.9935,276.243,5534.86
180,0.993,301.659,5101.14
160,0.993,330.579,4659.49
140,0.993,364.299,4217.35
120,0.9915,414.079,3754.39
100,0.991,476.19,3265.3
90,0.99,507.614,3019.64
80,0.9895,563.38,2766.28
70,0.9885,623.053,2506.95
60,0.9875,701.754,2241.47
55,0.9865,751.88,2098.11
50,0.9845,806.452,1957.19
45,0.982,873.362,1811.84
40,0.9805,952.381,1665.58
35,0.9765,1047.12,1515.83
30,0.971,1176.47,1353.74
25,0.9635,1342.28,1203.5
20,0.953,1550.39,1038.39
15,0.9285,1886.79,871.885
10,0.8965,2380.95,700.035
