ef,recall,qps,distance_computations_per_query
1700,0.9905,48.5555,36747.8
1400,0.9915,56.5131,31576.7
1100,0.9915,64.6204,26155.1
1000,0.991,62.2665,24273.8
900,0.991,68.0735,22340.1
800,0.9905,75.0469,20352.1
700,0.991,83.5422,18322.6
600,0.991,94.2507,16231.9
500,0.99,107.411,14071.1
400,0.989,130.293,11790
300,0.988,165.153,9398.36
250,0.98,188.857,8122.77
200,0.978,229.358,6827.26
180,0.9775,250.313,6293.57
160,0.978,274.348,5749.36
140,0.977,304.414,5187.38
120,0.976,345.423,4621.82
100,0.9735,398.406,4019.57
90,0.973,430.108,3716.19
80,0.9715,472.813,3402.27
70,0.97,523.56,3083.49
60,0.967,581.395,2759.25
55,0.965,625,2594.31
50,0.964,662.252,2427.84
45,0.9585,719.424,2253.32
40,0.9565,784.314,2082.61
35,0.9515,862.069,1907.24
30,0.947,947.867,1724.4
25,0.936,1075.27,1535.91
20,0.92,1257.86,1340.48
15,0.8955,1492.54,1145.34
10,0.848,1886.79,934.785
