L,Cmps,QPS,Recall
1700,83993,2.86714,75.9
1400,76188,2.94234,75.6
1100,67804,2.97517,74.35
1000,64774,2.99267,73.75
900,61529,3.02005,73.15
800,58067,3.03026,72.4
700,54328,3.04521,71.75
600,50314,3.06589,70.65
500,45867,3.07286,69.6
400,40909,3.09703,68.25
300,35245,3.11086,66.05
250,32003,3.12012,65
200,28489,3.13185,62.2
180,26958,3.13018,61.45
160,25376,3.08157,60.85
140,23655,2.99886,58.6
120,21830,3.01191,57.25
100,19897,3.09086,55.65
90,18871,3.14312,55.4
80,17813,3.15632,54.4
70,16674,3.16751,52.8
60,15434,3.17859,51.4
55,14816,3.17899,51.35
50,14194,3.18208,50.45
45,13538,3.17294,49.35
40,12877,3.17204,48.3
35,12142,3.18056,47.6
30,11413,3.193,46.1
25,10649,3.19142,44.45
20,9857,3.18289,42.45
15,9022,3.17758,40.7
10,8071,3.20061,37.75
