L,Cmps,QPS,Recall
1700,25645.00,30.33,81.10
1400,24475.00,30.37,79.75
1100,22584.00,31.54,77.85
1000,22132.00,31.85,77.05
900,21661.00,31.75,76.60
800,21190.00,31.99,75.45
700,20685.00,32.34,75.05
600,20000.00,32.58,72.65
500,19447.00,32.78,71.65
400,18839.00,33.18,69.95
300,18208.00,33.28,68.20
250,17850.00,33.35,66.30
200,17510.00,33.18,65.05
180,17383.00,33.42,64.40
160,17241.00,33.69,64.00
140,17094.00,33.30,62.70
120,16948.00,33.92,60.80
100,16796.00,33.76,60.30
90,16722.00,34.06,59.10
80,16647.00,33.03,58.90
70,16565.00,33.45,57.95
60,16481.00,33.24,56.95
55,16441.00,33.69,55.85
50,16393.00,34.08,55.80
45,16352.00,34.05,54.45
40,16313.00,33.83,54.45
35,16283.00,33.51,53.95
30,16222.00,33.22,52.60
25,16178.00,33.96,52.45
20,16125.00,33.41,51.25
15,16075.00,33.95,48.95
10,16022.00,33.86,48.50
