ef,recall,qps
2000,1.0000,7.5
1900,1.0000,7.4
1800,1.0000,7.5
1700,1.0000,7.5
1600,1.0000,7.4
1500,1.0000,7.5
1400,1.0000,7.5
1300,1.0000,7.4
1200,1.0000,7.5
1100,1.0000,7.4
1000,1.0000,7.5
900,1.0000,7.4
800,1.0000,7.5
700,1.0000,7.4
600,1.0000,7.4
500,1.0000,7.4
400,1.0000,7.4
300,1.0000,7.4
250,1.0000,7.5
200,1.0000,7.4
180,1.0000,7.4
160,1.0000,7.4
140,1.0000,7.3
120,1.0000,7.4
100,1.0000,7.4
90,1.0000,7.4
80,1.0000,7.5
70,1.0000,7.5
60,1.0000,7.5
55,1.0000,7.4
50,1.0000,7.4
45,1.0000,7.5
40,1.0000,7.4
35,1.0000,7.5
30,1.0000,7.4
25,1.0000,7.3
20,1.0000,7.4
15,1.0000,7.4
10,1.0000,7.4
