nprobe,recall,qps
1,0.1762,5.6
2,0.2734,5.6
3,0.3311,5.6
5,0.4061,5.7
10,0.5337,5.6
20,0.7419,5.6
30,0.8453,5.5
50,0.8758,5.6
100,0.9099,5.6
200,0.9433,5.5
500,0.9826,5.4
1000,1.0000,5.3
