L,Cmps,QPS,Recall
1700,5793,363.108,99.98
1400,5302,411.523,99.98
1100,4715,480.077,99.98
1000,4492,510.725,99.97
900,4252,547.645,99.96
800,3992,592.066,99.96
700,3711,645.578,99.96
600,3404,714.796,99.96
500,3061,809.061,99.95
400,2681,940.734,99.95
300,2248,1146.79,99.95
250,2006,1302.08,99.95
200,1740,1522.07,99.95
180,1627,1636.66,99.92
160,1508,1773.05,99.91
140,1384,1953.12,99.87
120,1253,2173.91,99.85
100,1114,2469.14,99.84
90,1040,2659.57,99.75
80,963,2881.84,99.72
70,883,3154.57,99.69
60,799,3521.13,99.66
55,756,3703.7,99.63
50,711,3952.57,99.57
45,665,4273.5,99.49
40,617,4608.29,99.4
35,567,5050.5,99.22
30,516,5555.56,98.99
25,462,6289.31,98.64
20,404,7246.38,97.99
15,344,8547.01,96.77
10,280,10638.3,94.63
