L,Cmps,QPS,Recall
1700,104911,24.9507,97.74
1400,90634,29.5404,97.07
1100,75444,36.2608,96.44
1000,70169,32.3646,96.12
900,64671,42.4538,95.69
800,58912,47.0522,95.11
700,52981,52.5238,94.52
600,46843,58.3328,93.88
500,40448,68.0457,92.61
400,33781,81.8331,91.19
300,26700,104.047,88.92
250,22982,121.212,87.22
200,19094,146.327,84.75
180,17469,159.541,83.87
160,15827,176.96,82.42
140,14199,197.472,80.72
120,12480,224.77,78.65
100,10730,261.986,75.92
90,9827,286.205,74.7
80,8921,316.456,73.21
70,8001,353.107,71.42
60,7074,403.877,69.12
55,6607,431.22,67.97
50,6131,482.16,66.65
45,5659,517.866,65.22
40,5171,565.931,63.39
35,4674,628.141,61.55
30,4170,705.716,59.55
25,3672,805.153,56.87
20,3157,941.62,53.43
15,2633,1136.36,49.63
10,2085,1457.73,44.55
