L,Cmps,QPS,Recall
1700,20644,128.684,98
1400,17955,150.58,97.49
1100,15110,182.05,97.03
1000,14073,196.734,96.8
900,13031,213.63,96.65
800,11957,234.577,96.34
700,10808,261.643,95.64
600,9643,295.596,95.1
500,8413,347.343,94.26
400,7080,416.84,93.05
300,5667,513.611,91.44
250,4929,596.303,90.48
200,4134,712.758,88.69
180,3803,780.031,87.77
160,3462,859.107,86.78
140,3119,959.693,85.72
120,2760,1127.4,84.1
100,2388,1312.34,82.39
90,2199,1424.5,81.36
80,2007,1557.63,80.39
70,1810,1733.1,79.07
60,1604,1949.32,77.04
55,1506,2079,76.26
50,1401,2232.14,75.14
45,1295,2421.31,73.88
40,1186,2638.52,72.32
35,1077,2890.17,70.55
30,965,3246.75,68.8
25,850,3533.57,66.42
20,733,4132.23,63.7
15,616,4854.37,60.26
10,490,6024.1,54.52
