L,Cmps,QPS,Recall
1700,4813,310.078,86.15
1400,4303,339.905,85.08
1100,3744,375.94,83.44
1000,3526,391.543,82.83
900,3311,407.498,81.93
800,3091,427.716,81.15
700,2850,448.833,80.09
600,2590,474.834,79.01
500,2307,507.357,77.53
400,1992,546.747,75.69
300,1660,598.444,73.69
250,1474,628.536,71.89
200,1268,671.141,70.01
180,1177,687.285,69.11
160,1094,708.717,68.33
140,1004,728.332,67.18
120,909,754.148,66.03
100,812,776.398,64.47
90,760,795.545,63.58
80,705,813.008,62.59
70,658,823.723,61.76
60,597,846.74,60.61
55,567,855.432,60.04
50,539,864.304,59.37
45,503,877.963,58.83
40,470,889.68,58.16
35,431,904.977,57.41
30,393,918.274,56.24
25,359,932.836,55.29
20,319,946.97,53.91
15,278,966.184,52.51
10,230,986.193,50.82
