L,Cmps,QPS,Recall
1700,4200,435.73,8.86
1400,3780,508.13,10.22
1100,3334,597.015,11.59
1000,3173,635.728,12.13
900,3015,680.735,12.76
800,2841,738.552,13.38
700,2648,803.213,14.22
600,2436,892.857,15.4
500,2212,1008.06,16.77
400,1966,1168.22,18.31
300,1682,1383.13,20.71
250,1536,1567.4,21.85
200,1375,1782.53,23.38
180,1302,1904.76,24.31
160,1227,2024.29,25.14
140,1146,2207.51,26.09
120,1059,2421.31,27.45
100,964,2702.7,29.17
90,918,2857.14,29.84
80,865,3048.78,30.89
70,809,3300.33,32.11
60,745,3610.11,33.79
55,713,3787.88,34.76
50,685,3952.57,35.51
45,656,4149.38,36.19
40,623,4385.96,37.17
35,579,4694.84,38.77
30,535,5128.21,40.65
25,493,5714.29,42.24
20,451,6289.31,43.91
15,402,7142.86,46.3
10,345,8403.36,49.58
