L,Cmps,QPS,Recall
1700,90944,20.8407,25.48
1400,80764,22.7252,23.61
1100,69452,26.3435,21.71
1000,65360,27.9814,20.91
900,61065,29.1452,20.03
800,56566,30.4646,18.98
700,51868,33.9397,18.08
600,46880,35.3957,17.16
500,41553,38.5342,16.11
400,35779,42.7716,14.74
300,29444,49.5638,13.14
250,25940,52.5376,12.06
200,22196,55.9534,11.17
180,20644,57.8336,10.67
160,19055,60.9682,10.34
140,17336,63.5687,9.8
120,15575,66.827,9.26
100,13711,70.5916,8.81
90,12735,72.7484,8.37
80,11749,75.0356,8.03
70,10704,77.7484,7.61
60,9642,80.5218,7.18
55,9104,82.1963,7.03
50,8547,83.8363,6.76
45,7940,85.7045,6.43
40,7291,87.7655,6.1
35,6686,89.6781,5.83
30,6029,91.7852,5.46
25,5347,94.3218,5.18
20,4627,97.2006,4.79
15,3861,100.503,4.35
10,3050,104.188,3.78
