L,Cmps,QPS,Recall
1700,1708,1960.78,100
1400,1654,2173.91,100
1100,1541,2500,99.95
1000,1490,2666.67,99.9
900,1432,2857.14,99.9
800,1366,3125,99.75
700,1293,3448.28,99.7
600,1209,3846.15,99.7
500,1116,4347.83,99.5
400,1010,5000,99.4
300,877,6250,99.05
250,800,7142.86,98.85
200,713,8333.33,98.8
180,675,9090.91,98.6
160,634,10000,98.55
140,587,11111.1,98.3
120,538,12500,98.15
100,488,14285.7,97.75
90,461,15384.6,97.75
80,432,16666.7,97.7
70,403,18181.8,97.7
60,374,20000,97.35
55,360,22222.2,97.35
50,342,25000,96.8
45,326,25000,96.6
40,307,28571.4,95.45
35,289,28571.4,95.25
30,270,33333.3,94.65
25,248,40000,94.3
20,224,40000,93.25
15,194,50000,90.6
10,163,66666.7,87.65
