batch,cold_frac,scenario,recall,qps,dist_comp,hops,insertion_time_s,index_size_bytes,num_vectors
init,,containment,0.975793,536.578,3449.08,428.842,,114357864,500224
init,,equality,0.999601,2057.58,1054.29,342.729,,114357864,500224
init,,overlap,0.98902,330.438,7337.98,501.722,,114357864,500224
B0,0,containment,0.979082,476.68,3549.34,432.863,32.8578,135950324,600268
B0,0,equality,0.999339,1783.04,1128.1,352.692,32.8578,135950324,600268
B0,0,overlap,0.987425,298.235,7344.64,501.813,32.8578,135950324,600268
B1,0.25,containment,0.97529,466.212,3674.34,438.25,32.5877,157518100,700312
B1,0.25,equality,0.99929,1810.92,1182.77,360.73,32.5877,157518100,700312
B1,0.25,overlap,0.985755,312.974,7386,501.87,32.5877,157518100,700312
B2,0.5,containment,0.970828,416.113,3807.18,443.132,32.6054,179282972,800356
B2,0.5,equality,0.999375,1627.31,1225.97,368.438,32.6054,179282972,800356
B2,0.5,overlap,0.984188,288.529,7449.54,502.139,32.6054,179282972,800356
B3,0.325,containment,0.969165,414.476,3903.76,446.315,33.5623,200970248,900400
B3,0.325,equality,0.999328,1584.84,1267.93,374.937,33.5623,200970248,900400
B3,0.325,overlap,0.98143,286.494,7480.08,502.536,33.5623,200970248,900400
B4,0,containment,0.9666,386.776,3958.59,447.843,34.5599,222563852,1000444
B4,0,equality,0.999,1515.3,1311.22,380.263,34.5599,222563852,1000444
B4,0,overlap,0.9813,288.712,7471.73,502.397,34.5599,222563852,1000444
FI0,0,containment,0.975649,502.094,3529.63,432.233,14.5449,131313552,578768
FI0,0,equality,0.999596,1930.08,1113.44,350.948,14.5449,131313552,578768
FI0,0,overlap,0.985,321.402,7341.82,501.74,14.5449,131313552,578768
FI1,0,containment,0.974937,476.615,3517.22,431.744,24.3865,130891752,578768
FI1,0,equality,0.999394,1828.12,1105.39,349.848,24.3865,130891752,578768
FI1,0,overlap,0.9846,299.947,7349.18,501.638,24.3865,130891752,578768
FI2,0,containment,0.97272,499.87,3507.33,431.11,13.5378,130613752,578768
FI2,0,equality,0.999293,1937.42,1095.35,348.763,13.5378,130613752,578768
FI2,0,overlap,0.9834,311.046,7358.83,501.768,13.5378,130613752,578768
FI3,0,containment,0.975543,482.168,3492.84,430.292,12.3248,130367992,578768
FI3,0,equality,0.999495,1858.26,1084.69,347.136,12.3248,130367992,578768
FI3,0,overlap,0.9844,298.193,7365.78,501.674,12.3248,130367992,578768
FI4,0,containment,0.974034,514.805,3478.24,429.398,21.3333,130228740,578768
FI4,0,equality,0.999595,2005.29,1073.71,345.461,21.3333,130228740,578768
FI4,0,overlap,0.9836,319.813,7371.91,501.709,21.3333,130228740,578768
