batch,cold_frac,scenario,recall,qps,dist_comp,hops,insertion_time_s,index_size_bytes,num_vectors
init,,containment,0.974166,524.88,3448.62,428.845,,114327932,500224
init,,equality,0.999601,2039.57,1054.4,342.71,,114327932,500224
init,,overlap,0.989223,325.918,7337.99,501.717,,114327932,500224
B0,0,containment,0.975567,469.511,3548.51,432.903,18.7224,135897464,600268
B0,0,equality,0.999339,1803.3,1128.33,352.694,18.7224,135897464,600268
B0,0,overlap,0.988934,300.408,7345.44,501.778,18.7224,135897464,600268
B1,0.25,containment,0.973802,442.029,3673.84,438.242,18.7654,157473924,700312
B1,0.25,equality,0.99929,1695.16,1183.36,360.767,18.7654,157473924,700312
B1,0.25,overlap,0.985755,291.693,7388.48,501.937,18.7654,157473924,700312
B2,0.5,containment,0.96945,412.342,3807.13,443.116,18.8589,179251152,800356
B2,0.5,equality,0.999375,1630.47,1226.03,368.479,18.8589,179251152,800356
B2,0.5,overlap,0.984064,289.936,7451.73,502.347,18.8589,179251152,800356
B3,0.325,containment,0.965983,401.102,3904.48,446.37,19.426,200955996,900400
B3,0.325,equality,0.999328,1573.81,1268.42,374.992,19.426,200955996,900400
B3,0.325,overlap,0.983098,283.483,7480.29,502.653,19.426,200955996,900400
B4,0,containment,0.9654,388.495,3958.93,447.864,19.6025,222565128,1000444
B4,0,equality,0.999,1532.97,1311.23,380.245,19.6025,222565128,1000444
B4,0,overlap,0.9812,282.599,7470.58,502.397,19.6025,222565128,1000444
FI0,0,containment,0.973838,502.212,3529.33,432.29,24.8702,131289416,578768
FI0,0,equality,0.999596,1921.3,1113.68,350.945,24.8702,131289416,578768
FI0,0,overlap,0.9855,320.094,7342.91,501.826,24.8702,131289416,578768
FI1,0,containment,0.973528,488.903,3516.53,431.754,13.9789,130855880,578768
FI1,0,equality,0.999596,1886.59,1104.97,349.796,13.9789,130855880,578768
FI1,0,overlap,0.9851,313.714,7350.86,501.805,13.9789,130855880,578768
FI2,0,containment,0.970707,506.353,3506.78,431.091,23.9631,130597404,578768
FI2,0,equality,0.999394,1962.51,1095.05,348.692,23.9631,130597404,578768
FI2,0,overlap,0.9839,318.704,7356.86,501.664,23.9631,130597404,578768
FI3,0,containment,0.972323,478.707,3492.24,430.25,22.413,130345660,578768
FI3,0,equality,0.999495,1852.19,1085.09,347.174,22.413,130345660,578768
FI3,0,overlap,0.9833,298.712,7365.74,501.673,22.413,130345660,578768
FI4,0,containment,0.973027,516.83,3477.04,429.378,21.9135,130170908,578768
FI4,0,equality,0.999595,1975.6,1073.76,345.426,21.9135,130170908,578768
FI4,0,overlap,0.983,314.832,7372.82,501.754,21.9135,130170908,578768
