ef,recall,qps
2000,1.0000,20.5
1900,1.0000,21.4
1800,1.0000,22.2
1700,1.0000,23.1
1600,1.0000,23.9
1500,1.0000,24.8
1400,1.0000,25.7
1300,0.9999,26.9
1200,0.9999,27.8
1100,0.9999,29.0
1000,0.9999,29.9
900,0.9999,31.4
800,0.9998,32.4
700,0.9999,33.6
600,0.9999,36.0
500,0.9999,36.8
400,0.9998,37.9
300,0.9998,38.8
250,0.9998,38.7
200,0.9995,39.9
180,0.9997,40.0
160,0.9996,40.3
140,0.9995,40.6
120,0.9992,40.6
100,0.9990,40.8
90,0.9986,41.4
80,0.9985,41.0
70,0.9983,41.8
60,0.9979,41.7
55,0.9976,42.0
50,0.9973,42.2
45,0.9969,41.1
40,0.9963,42.8
35,0.9957,42.8
30,0.9944,43.1
25,0.9922,42.9
20,0.9898,42.4
15,0.9844,43.1
10,0.9729,42.8
