nprobe,recall,qps
1,0.2527,89.6
2,0.3737,84.3
3,0.4525,79.9
5,0.5586,72.4
10,0.7071,75.6
20,0.8279,75.0
30,0.8827,70.2
50,0.9364,72.6
100,0.9797,63.6
200,0.9961,51.9
500,0.9997,45.7
1000,1.0000,39.9
