L,Cmps,QPS,Recall
1700,3734,424.628,100
1400,3496,478.469,100
1100,3205,526.316,100
1000,3093,549.451,100
900,2969,609.756,100
800,2837,664.452,100
700,2690,719.424,100
600,2528,746.269,100
500,2339,819.672,100
400,2118,934.579,100
300,1857,1075.27,100
250,1703,1242.24,100
200,1527,1428.57,99.95
180,1448,1526.72,99.95
160,1365,1626.02,99.95
140,1276,1754.39,99.9
120,1175,1904.76,99.9
100,1066,2127.66,99.9
90,1006,2247.19,99.9
80,943,2409.64,99.9
70,875,2597.4,99.9
60,799,2857.14,99.75
55,760,2985.07,99.75
50,719,3174.6,99.65
45,676,3333.33,99.6
40,629,3636.36,99.4
35,581,3846.15,98.9
30,528,4255.32,98.15
25,473,4761.9,97.7
20,413,5405.41,96.75
15,348,6451.61,94.6
10,279,8000,89.65
